role_Attacker,role_Defender,role_Keeper,role_Midfielder,diving_save,goals_conceded,minutes_played,saves,assists,chances_created,goals,total_shots,shot_accuracy,shot_on_target,crosses,key_passes,touches,dribbles_succeeded,duels_won,tackles_attempted,was_fouled,rating
0,0,0,1,0,0,90.0,0,0,1,1,2,1.0,2,3,2,105,0,1,0,0,8.0
0,0,1,0,3,0,90.0,7,0,0,0,0,0.0,0,0,0,41,0,0,0,0,7.2
0,1,0,0,0,0,90.0,0,1,0,1,3,0.33,1,0,1,66,0,7,1,0,8.6
0,1,0,0,0,0,90.0,0,1,1,0,1,0.0,0,1,3,49,0,1,0,0,7.8
0,0,0,1,0,0,90.0,0,0,0,0,0,0.0,0,1,2,44,0,5,3,1,7.3
0,0,0,1,0,0,90.0,0,0,0,0,1,0.0,0,1,2,53,0,4,3,0,5.8
1,0,0,0,0,0,24.0,0,1,1,0,2,0.0,0,0,1,19,2,3,1,0,7.6
1,0,0,0,0,0,70.0,0,0,1,1,3,0.33,1,4,1,48,1,3,1,1,8.0
0,0,1,0,1,3,90.0,3,0,0,0,0,0.0,0,0,0,28,0,1,0,1,5.0
0,1,0,0,0,0,90.0,0,0,0,0,3,0.0,0,0,1,46,0,7,0,0,7.3
0,1,0,0,0,0,90.0,0,0,1,1,3,0.67,2,0,0,43,0,8,0,2,7.6
0,1,0,0,0,0,90.0,0,0,0,0,1,0.0,0,3,0,78,0,5,3,1,7.3
0,1,0,0,0,0,90.0,0,0,0,0,0,0.0,0,1,0,56,1,4,1,1,6.1
0,0,0,1,0,0,90.0,0,0,1,0,1,0.0,0,1,2,65,4,10,1,3,7.6
1,0,0,0,0,0,90.0,0,0,0,0,0,0.0,0,3,4,51,0,5,1,3,6.7
0,0,0,1,0,0,90.0,0,0,0,0,0,0.0,0,15,4,91,1,4,0,1,6.9
1,0,0,0,0,0,89.0,0,0,0,0,2,0.0,0,2,4,61,4,5,0,1,7.0
0,0,0,1,0,0,90.0,0,0,0,0,1,0.0,0,0,2,35,0,5,1,3,7.1
1,0,0,0,0,0,90.0,0,0,0,0,1,1.0,1,0,0,29,2,3,1,0,6.4
0,0,0,1,0,0,90.0,0,0,1,1,3,0.33,1,0,1,58,1,7,6,0,7.9
0,1,0,0,0,0,90.0,0,0,0,0,0,0.0,0,0,0,66,0,1,0,1,7.0
0,1,0,0,0,0,90.0,0,0,0,0,2,0.5,1,1,1,65,0,4,1,1,6.2
0,1,0,0,0,0,23.0,0,0,0,0,0,0.0,0,0,0,14,0,4,1,0,6.5
0,1,0,0,0,0,18.0,0,0,0,0,1,0.0,0,0,0,10,0,3,0,1,6.1
0,0,1,0,0,0,90.0,0,0,0,0,0,0.0,0,0,0,29,0,0,0,0,6.8
0,0,0,1,0,0,90.0,0,2,1,0,4,0.25,1,4,6,63,5,8,2,1,8.9
1,0,0,0,0,0,28.0,0,0,0,0,1,0.0,0,0,1,36,0,1,0,0,6.0
0,1,0,0,0,0,90.0,0,0,0,0,0,0.0,0,5,1,77,1,5,0,2,6.3
0,1,0,0,0,0,90.0,0,0,0,0,3,0.33,1,0,0,55,1,11,1,0,7.3
0,0,0,1,0,0,90.0,0,1,0,0,1,0.0,0,0,2,80,1,4,1,1,7.8
0,0,0,1,0,0,56.0,0,0,0,0,2,0.5,1,0,0,48,1,2,0,1,6.9
0,0,0,1,0,0,90.0,0,0,0,0,0,0.0,0,0,1,74,0,7,3,0,7.1
1,0,0,0,0,0,73.0,0,0,1,0,1,0.0,0,0,1,16,0,1,0,0,6.1
0,0,0,1,0,0,88.0,0,0,0,0,1,0.0,0,0,1,30,0,5,3,0,6.8
0,0,0,1,0,0,90.0,0,0,0,0,2,0.0,0,0,0,47,0,7,4,2,7.3
0,0,0,1,0,0,90.0,0,0,0,0,1,0.0,0,3,3,59,1,10,6,0,7.3
1,0,0,0,0,0,29.0,0,0,0,0,0,0.0,0,0,2,11,1,2,0,1,5.8
0,0,0,1,0,0,45.0,0,0,1,1,3,0.33,1,0,0,39,0,4,0,2,7.1
0,0,0,1,0,0,89.0,0,0,1,0,2,0.0,0,0,2,93,3,3,0,0,7.7
0,0,0,1,0,0,45.0,0,0,0,0,1,1.0,1,1,0,26,2,6,0,3,7.4
0,0,0,1,0,0,90.0,0,0,0,0,3,0.33,1,0,0,56,0,1,0,0,6.0
0,0,1,0,0,0,90.0,0,0,0,0,0,0.0,0,0,0,30,0,0,0,0,6.9
1,0,0,0,0,0,45.0,0,0,0,1,1,1.0,1,0,0,13,0,3,0,2,7.2
0,1,0,0,0,0,90.0,0,0,0,0,2,0.0,0,0,0,55,1,10,2,3,6.0
1,0,0,0,0,0,59.0,0,0,0,0,0,0.0,0,0,1,34,2,6,3,1,5.9
0,1,0,0,0,0,90.0,0,0,0,1,1,1.0,1,0,0,74,0,7,2,1,7.6
0,0,0,1,0,0,90.0,0,0,0,0,1,0.0,0,0,3,54,1,6,4,1,7.3
0,1,0,0,0,0,90.0,0,0,0,0,0,0.0,0,0,0,43,0,6,3,2,6.9
0,0,0,1,0,0,69.0,0,0,0,0,1,1.0,1,5,4,40,0,1,1,0,6.6
0,0,1,0,1,0,90.0,4,0,0,0,0,0.0,0,0,0,47,0,0,0,0,6.1
0,0,0,1,0,0,79.0,0,0,0,0,0,0.0,0,1,1,66,2,6,3,1,6.5
1,0,0,0,0,0,23.0,0,0,0,0,1,0.0,0,0,1,13,1,4,0,0,6.2
1,0,0,0,0,0,71.0,0,1,1,1,2,1.0,2,1,2,63,5,6,0,1,8.4
0,0,1,0,3,0,90.0,5,0,0,0,0,0.0,0,0,0,40,0,0,0,0,6.7
0,1,0,0,0,0,90.0,0,0,0,0,0,0.0,0,0,0,72,1,3,1,0,7.0
0,1,0,0,0,0,68.0,0,0,0,0,1,0.0,0,0,0,38,0,2,1,1,6.0
0,1,0,0,0,0,90.0,0,0,0,0,1,0.0,0,0,0,76,0,10,3,2,6.9
1,0,0,0,0,0,86.0,0,0,0,0,3,0.67,2,2,1,31,0,5,1,1,6.0
0,1,0,0,0,0,90.0,0,0,0,0,0,0.0,0,3,0,75,0,8,5,1,7.2
0,1,0,0,0,0,90.0,0,0,0,0,1,0.0,0,0,1,88,0,7,5,0,6.7
1,0,0,0,0,0,74.0,0,0,0,0,2,0.5,1,2,0,42,1,1,0,0,6.0
1,0,0,0,0,0,31.0,0,0,0,0,0,0.0,0,1,0,14,0,1,0,1,5.4
1,0,0,0,0,0,90.0,0,0,0,0,1,0.0,0,1,0,48,2,6,1,0,5.8
0,1,0,0,0,0,90.0,0,0,0,0,2,0.0,0,0,0,78,1,5,0,1,7.1
1,0,0,0,0,0,90.0,0,0,0,0,4,1.0,4,3,1,47,1,5,0,1,6.9
0,0,0,1,0,0,83.0,0,0,0,0,1,0.0,0,8,0,45,1,5,1,1,6.7
0,0,0,1,0,0,29.0,0,0,0,0,0,0.0,0,0,0,15,0,3,3,0,6.0
0,0,0,1,0,0,90.0,0,0,0,0,3,0.0,0,3,2,59,1,9,0,2,6.9
1,0,0,0,0,0,71.0,0,0,0,0,0,0.0,0,1,1,39,2,10,0,3,6.6
0,1,0,0,0,0,76.0,0,0,0,0,1,0.0,0,2,0,32,1,4,2,0,6.4
0,0,0,1,0,0,80.0,0,1,0,0,3,0.0,0,6,2,54,0,1,1,0,7.4
0,0,0,1,0,0,64.0,0,0,0,0,0,0.0,0,4,2,30,1,3,2,0,5.9
0,0,0,1,0,0,90.0,0,0,0,0,0,0.0,0,1,0,113,1,4,0,1,4.7
0,0,1,0,5,0,90.0,7,0,0,0,0,0.0,0,0,0,36,0,0,0,0,5.0
1,0,0,0,0,0,84.0,0,0,1,2,4,0.75,3,0,0,38,4,11,1,1,9.0
0,0,0,1,0,0,90.0,0,0,0,0,2,0.0,0,1,1,36,1,4,0,1,6.7
0,1,0,0,0,0,90.0,0,0,0,0,1,0.0,0,0,0,91,0,9,5,1,7.2
1,0,0,0,0,0,82.0,0,1,0,0,2,0.0,0,1,2,44,2,5,2,1,6.4
0,0,0,1,0,0,90.0,0,1,2,0,0,0.0,0,8,4,73,0,5,3,1,7.8
1,0,0,0,0,0,90.0,0,0,0,0,4,0.25,1,0,4,83,0,5,2,2,7.3
0,1,0,0,0,0,90.0,0,0,0,0,1,0.0,0,3,1,90,0,8,6,1,6.2
1,0,0,0,0,0,13.0,0,0,0,0,0,0.0,0,0,0,6,1,1,0,0,6.3
0,0,0,1,0,0,90.0,0,1,0,0,0,0.0,0,2,3,68,5,10,3,2,8.2
1,0,0,0,0,0,61.0,0,0,1,0,1,0.0,0,1,1,28,3,3,0,0,7.0
1,0,0,0,0,0,90.0,0,1,0,0,1,0.0,0,0,1,51,1,1,0,0,6.5
1,0,0,0,0,0,90.0,0,0,1,2,6,0.67,4,0,0,58,5,8,0,2,9.0
1,0,0,0,0,0,90.0,0,0,0,0,5,0.2,1,2,2,33,1,4,0,0,7.1
0,0,1,0,4,0,90.0,5,0,0,0,0,0.0,0,0,0,26,0,0,0,0,8.4
1,0,0,0,0,0,90.0,0,0,1,0,4,0.25,1,3,1,37,1,3,0,1,5.4
0,1,0,0,0,0,90.0,0,0,0,0,0,0.0,0,0,0,44,0,3,6,0,6.0
0,1,0,0,0,0,14.0,0,0,0,0,1,1.0,1,0,1,9,0,1,1,0,6.3
0,0,1,0,1,0,90.0,1,0,0,0,0,0.0,0,0,0,38,0,0,0,0,7.5
